"zone","section","Sea.Lettuce","Rockweed","Sea.Moss","Turkish.Towel","Turkish.Washcloth","Sea.Cauliflower","Witches.Hair","Iridescent.Algae","Green.Turfweed","Brown.Turfweed","Sargassum","Tar.Spot.Algae","Crustose.Coralline.Algae","Filamentous.Red.Algae","Other.Green.Algae","Other.Brown.Algae","Other.Red.Algae"
NA,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
NA,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
NA,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NA,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NA,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NA,7,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NA,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NA,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NA,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,8,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
NA,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
NA,8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
NA,8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
NA,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NA,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NA,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NA,8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
NA,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,8,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NA,8,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NA,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
NA,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
NA,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NA,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
NA,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
