zone,section,Sea Lettuce,Rockweed,Sea Moss,Turkish Towel,Turkish Washcloth,Sea Cauliflower,Witches Hair,Iridescent Algae,Green Turfweed,Brown Turfweed,Sargassum,Tar Spot Algae,Crustose Coralline Algae,Filamentous Red Algae,Other Green Algae,Other Brown Algae,Other Red Algae
L,7,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,7,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A
L,7,P,P,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A
L,7,P,P,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A
L,7,P,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A
L,7,P,P,A,A,P,A,A,A,A,A,A,P,A,P,A,A,A
L,7,P,A,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A
L,7,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,7,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,7,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,7,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,7,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,7,P,P,A,A,A,A,A,A,A,A,A,A,A,A,P,A,A
L,7,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,P
M,7,P,P,A,A,P,A,A,A,A,A,A,A,A,A,P,A,A
M,7,P,P,A,A,P,A,A,A,P,A,A,A,A,A,A,A,A
M,7,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,7,P,P,A,A,P,A,A,A,A,A,A,A,A,A,P,A,A
M,7,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,7,P,A,A,A,P,A,A,A,A,A,A,A,A,A,P,A,A
L,7,P,A,A,A,P,A,A,A,A,A,A,A,A,A,P,A,A
L,7,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,7,P,P,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
M,7,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,7,P,P,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
M,7,P,P,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
L,8,P,A,A,A,P,A,P,A,P,A,A,A,A,A,A,P,A
L,8,P,A,A,A,P,A,A,A,P,A,A,A,A,A,A,P,A
L,8,P,P,A,A,P,A,A,A,P,A,A,A,A,A,A,P,A
L,8,P,P,A,A,P,A,A,A,P,A,A,A,A,A,A,P,A
L,8,P,A,A,A,P,A,A,A,P,A,A,A,A,A,A,A,A
L,8,P,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
L,8,P,A,A,A,P,A,A,A,P,A,A,A,A,A,A,A,A
L,8,P,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
L,8,P,A,A,A,P,A,A,A,A,A,A,A,A,A,A,P,A
L,8,P,P,A,A,P,A,A,A,P,A,A,A,A,A,A,P,A
L,8,P,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
L,8,P,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
L,8,P,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
L,8,P,A,A,A,P,A,A,A,P,A,A,A,A,A,A,A,A
L,8,P,P,A,A,P,A,A,A,P,A,A,A,A,A,A,A,A
L,8,P,A,A,A,A,A,A,A,P,A,A,A,A,A,A,A,A
M,3,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,3,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,3,A,P,P,A,P,A,A,A,P,A,A,A,A,A,A,A,A
M,3,A,P,P,A,P,A,P,A,P,A,A,A,A,A,A,A,A
M,3,A,P,A,A,A,A,A,A,A,A,P,A,P,A,A,P,A
M,3,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,3,A,P,P,A,P,A,A,A,P,A,A,A,A,A,A,A,A
M,3,A,P,P,A,A,A,P,A,P,A,A,A,A,A,A,A,A
M,3,A,P,P,A,P,A,A,A,P,A,A,A,A,A,A,A,A
M,3,A,P,P,A,A,A,A,A,P,A,A,A,A,A,A,A,A
M,3,P,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,3,P,P,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A
M,3,A,P,P,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,3,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,3,A,P,P,A,P,A,P,A,P,A,A,A,A,A,A,A,A
M,3,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,3,A,P,P,A,P,A,A,A,P,A,A,A,A,A,A,A,A
M,3,A,P,P,A,P,P,A,A,P,A,A,A,A,A,A,A,P
M,3,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,3,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,3,A,P,P,A,A,A,A,A,P,A,A,A,A,A,A,A,A
M,3,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,P,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A
L,2,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A
L,2,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,P,A,A,P,A,A,A,A,A,A,P,A,A,A,A,A
L,2,P,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A
L,2,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,2,P,P,A,A,P,A,A,A,P,A,A,A,A,A,A,A,A
M,2,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,2,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,2,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,P,P,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,2,P,P,A,A,A,A,A,A,A,A,A,P,A,A,A,A,A
M,2,A,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,2,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,P,P,A,P,A,A,A,A,A,A,P,A,A,A,A,A
M,2,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,2,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,2,A,P,A,A,A,A,P,A,A,A,P,A,A,A,A,A,A
M,2,A,P,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A
L,2,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,A,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,A,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,A,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
L,2,P,A,A,A,P,A,P,A,A,A,A,A,A,A,A,A,A
L,2,P,A,A,A,P,A,P,A,A,A,P,A,A,A,A,A,A
L,2,P,P,A,A,A,A,P,A,A,A,A,A,A,A,A,A,A
L,2,P,P,A,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,6,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,6,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,6,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,6,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M,6,A,P,P,A,P,A,A,A,A,A,A,A,A,A,A,A,A
M,6,A,P,P,A,A,A,A,A,A,A,A,A,A,A,A,A,A
