"ZONE","Organism","1","2","3","4","5","6","7","8"
"L","YELLOW",0,2,1,0,1,1,3,1
"L","ORANGE",6,14,0,8,12,12,0,1
"L","RED",0,10,1,0,3,0,1,0
"L","UNKNOWN_OTHER_PORIFERA",4,2,0,2,2,4,2,0
"L","ANEMONE",4,0,0,2,0,5,0,0
"L","AGGREGATING.ANEMONE",0,0,0,0,0,0,0,0
"L","PURPLE.ENCRUSTING.HYDROCORAL",0,0,0,0,0,0,0,0
"L","HYDROID",0,0,0,0,0,0,0,0
"L","PACIFIC.SEA.NETTLE",0,0,0,0,0,0,0,0
"L","LION.S.MANE",0,0,0,0,0,0,0,0
"L","MOON",0,0,0,0,0,0,0,0
"L","EGG",0,0,0,0,0,0,0,0
"L","PLATYHELMINTHES",0,0,0,0,0,0,0,0
"L","NEMERTEA",0,0,2,4,6,3,0,0
"L","ANNELIDA",5,4,2,6,40,3,5,8
"L","ANNELIDA_TUBEWORM",22,8,7,29,41,3,4,3
"L","CHITON_LINED",6,16,6,19,3,7,1,6
"L","CHITON_MOSSY",3,0,0,1,0,4,6,3
"L","CHITON_HAIRY",4,1,0,0,0,1,0,0
"L","CHITON_LEATHER",0,0,0,0,0,0,0,0
"L","LIMPET",5,6,36,10,0,5,51,19
"L","TOPSNAIL",1,19,23,54,0,0,1,0
"L","TURBAN_SNAIL",0,0,8,11,0,0,0,0
"L","MARGARITE",0,0,0,0,0,0,0,0
"L","PERIWINKLE",0,0,0,0,0,0,0,0
"L","BITTIUM",0,4,0,0,0,0,0,0
"L","WENTLETRAP",0,0,0,0,0,0,0,0
"L","DOGWINKLE",0,2,0,6,0,2,0,0
"L","WELK",8,5,0,1,0,4,5,9
"L","OLIVE",0,0,0,0,0,0,0,0
"L","OTHER_UNKNOWN_GASTROPODA",9,13,5,0,0,0,7,4
"L","SEA_CLOWN",0,0,0,0,2,0,0,0
"L","DORID",0,0,0,0,0,0,0,2
"L","SEA_LEMON",0,0,0,0,1,1,0,0
"L","OTHER_UNKNOWN_OPISTHOBRANCHIA",0,0,0,0,1,0,0,0
"L","MUSSEL",0,0,0,0,0,0,3,0
"L","OYSTER",7,8,1,2,0,0,2,0
"L","CLAM",3,5,1,3,5,1,2,4
"L","SCALLOP",0,0,0,0,0,0,1,0
"L","OTHER_UNKNOWN_BIVALVIA",0,0,2,0,0,0,4,0
"L","BARNACLES",0,0,0,4,6,8,0,0
"L","ISOPODS",0,0,0,0,0,0,5,0
"L","AMPHIPODS",0,1,4,4,7,3,4,9
"L","SHRIMP",0,0,0,0,0,0,0,0
"L","BLACK_CLAWED",19,1,13,1,19,25,17,14
"L","HEMIGRAPSUS",8,0,0,5,1,0,2,2
"L","HERMIT_CRABS",3,12,10,49,4,10,6,17
"L","KELP",1,3,1,11,3,4,2,0
"L","PORCELAIN",9,9,1,17,20,20,51,19
"L","ROCK",3,0,0,2,5,1,0,0
"L","OTHER_UNKNOWN_DECAPODA",0,0,2,0,1,2,0,8
"L","ORANGE_ENCRUSTING",0,1,1,1,0,0,0,0
"L","OTHER_UNKNOWN_BRYOZOA",0,3,1,1,0,4,2,0
"L","BLOOD",0,0,0,2,1,0,0,0
"L","EVASTERIAS..MOTTLED.",0,0,0,3,2,0,0,0
"L","LEATHER",0,1,1,2,3,1,0,0
"L","LEPTASTERIAS..SIX.RAYED.",4,1,1,2,10,8,5,7
"L","PISASTER",2,0,0,0,0,0,0,0
"L","BRITTLE",0,1,0,1,15,2,3,4
"L","URCHIN",21,0,0,2,0,9,0,0
"L","CUCUMBER",39,5,7,11,6,25,6,12
"L","TUNICATE",0,18,0,0,4,1,0,0
"L","SEA_SQUIRT",2,6,1,7,4,2,3,3
"L","OTHER_UNKNOWN_TUNICATA",1,0,0,0,0,0,0,0
"L","CLINGFISH",0,0,0,0,0,0,1,0
"L","SCULPIN",0,0,0,0,0,0,0,0
"L","GUNNEL",7,1,7,4,8,6,9,12
"L","OTHER_UNKNOWN_OSTEICHTHYES",0,0,0,1,0,0,0,0
"M","YELLOW",0,0,0,0,0,0,0,0
"M","ORANGE",0,0,1,4,0,0,0,0
"M","RED",0,1,1,0,1,0,0,0
"M","UNKNOWN_OTHER_PORIFERA",1,2,0,0,0,0,0,0
"M","ANEMONE",1,1,2,2,0,1,0,0
"M","AGGREGATING.ANEMONE",0,0,0,0,0,0,0,0
"M","PURPLE.ENCRUSTING.HYDROCORAL",0,0,0,0,0,0,0,0
"M","HYDROID",0,0,0,0,0,0,0,0
"M","PACIFIC.SEA.NETTLE",0,0,0,0,0,0,0,0
"M","LION.S.MANE",0,0,0,0,0,0,0,0
"M","MOON",0,0,0,0,0,0,0,0
"M","EGG",0,0,0,0,0,0,0,0
"M","PLATYHELMINTHES",0,0,0,0,0,0,0,0
"M","NEMERTEA",0,0,0,0,0,1,0,0
"M","ANNELIDA",5,3,1,2,0,1,3,1
"M","ANNELIDA_TUBEWORM",0,5,1,0,0,0,6,5
"M","CHITON_LINED",0,4,8,10,2,10,0,2
"M","CHITON_MOSSY",1,5,5,4,1,13,9,1
"M","CHITON_HAIRY",3,10,3,2,0,1,0,2
"M","CHITON_LEATHER",0,4,2,2,1,1,1,0
"M","LIMPET",50,164,93,117,27,88,155,27
"M","TOPSNAIL",0,0,2,10,3,32,1,0
"M","TURBAN_SNAIL",0,20,0,13,38,7,0,0
"M","MARGARITE",0,0,0,0,0,0,0,0
"M","PERIWINKLE",0,0,0,0,0,0,0,0
"M","BITTIUM",0,0,0,0,0,0,0,0
"M","WENTLETRAP",0,0,0,0,0,0,0,0
"M","DOGWINKLE",12,5,7,6,0,0,1,0
"M","WELK",3,7,6,4,0,2,24,7
"M","OLIVE",0,0,0,0,0,0,0,0
"M","OTHER_UNKNOWN_GASTROPODA",4,20,7,2,0,7,50,0
"M","SEA_CLOWN",0,0,0,0,0,0,0,0
"M","DORID",0,0,0,0,0,0,0,0
"M","SEA_LEMON",0,0,1,0,0,0,0,0
"M","OTHER_UNKNOWN_OPISTHOBRANCHIA",0,1,0,0,0,0,0,0
"M","MUSSEL",4,0,0,8,0,6,6,0
"M","OYSTER",1,8,1,4,0,4,2,0
"M","CLAM",0,2,0,1,0,1,0,0
"M","SCALLOP",0,0,0,0,0,0,0,0
"M","OTHER_UNKNOWN_BIVALVIA",0,0,1,0,0,0,0,0
"M","BARNACLES",0,5,2,1,3,8,0,0
"M","ISOPODS",4,0,0,0,4,4,0,1
"M","AMPHIPODS",0,1,3,0,0,1,0,0
