"organism","L","M","U","year"
"yellow_sponge",2,0,1,2024
"orange_sponge",23,7,0,2024
"red_sponge",117,2,0,2024
"unknown_other_porifera",2,7,0,2024
"anemone",2,0,1,2024
"aggregating.anemone",0,0,0,2024
"purple.encrusting.hydrocoral",0,0,0,2024
"hydroid",0,0,0,2024
"pacific_sea_nettle",0,0,0,2024
"lions_mane",0,0,0,2024
"moon_jelly",0,0,0,2024
"egg_jelly",0,0,0,2024
"segmented_worm",110,9,1,2024
"nonsegmented_worm",141,1,0,2024
"flat_worm",1,5,1,2024
"other_worm",6,4,0,2024
"chiton_lined",4,5,1,2024
"chiton_mossy",10,8,1,2024
"chiton_hairy",10,9,0,2024
"chiton_leather",0,0,2,2024
"chiton_gumboot",0,0,0,2024
"chiton_lepidozona",0,1,0,2024
"chiton_other",4,5,0,2024
"limpet",343,900,1274,2024
"topsnail",30,7,13,2024
"turban_snail",3,831,2881,2024
"checkered_snail",0,407,1081,2024
"sitka_periwinkle",7,1528,3918,2024
"bittium",0,1,0,2024
"battalaria",7,9,2,2024
"lacuna",1,0,0,2024
"moon_snail",0,0,0,2024
"dogwinkle..welk.",39,44,9,2024
"other_unknown_gastropoda",9,37,20,2024
"sea_clown",0,0,0,2024
"dorid",0,0,0,2024
"sea_lemon",0,0,0,2024
"other_unknown_opisthobranchia",0,0,0,2024
"mussel",21,52,42,2024
"oyster",0,11,10,2024
"clam",5,0,0,2024
"scallop",3,0,0,2024
"other_unknown_bivalvia",0,0,0,2024
"barnacles",3069,6466,2592,2024
"rockweed.isopod",0,4,0,2024
"eelgrass.isopod",1,0,0,2024
"isopod_other",127,35,1,2024
"amphipods",1056,201,28,2024
"shrimp",3,0,0,2024
"black_clawed..pygmy.rock.",52,27,0,2024
"rock",16,2,0,2024
"hermit_crabs",74,219,37,2024
"kelp",10,7,0,2024
"porcelain",110,50,0,2024
"hemigrapsus",187,266,35,2024
"other_unknown_decapoda",9,2,0,2024
"orange_encrusting",0,0,0,2024
"other_unknown_bryozoa",38,1,0,2024
"blood",0,0,0,2024
"evasterias",0,0,0,2024
"leather",2,0,0,2024
"leptasterias..six.rayed.",11,20,1,2024
"pisaster",0,0,0,2024
"brittle",99,0,0,2024
"urchin",0,3,0,2024
"cucumber",14,5,0,2024
"tunicate",0,0,0,2024
"sea_squirt",1,0,0,2024
"other_unknown_tunicata",0,0,0,2024
"clingfish",1,0,0,2024
"sculpin",1,0,0,2024
"gunnel",13,3,0,2024
"cockscomb",19,0,0,2024
"other_unknown_osteichthyes",0,0,0,2024
