"organism","L_2023","M_2023","U_2023","year_2023","L_2024","M_2024","U_2024","year_2024","binary_L_2023","binary_M_2023","binary_U_2023","binary_year_2023","binary_L_2024","binary_M_2024","binary_U_2024","binary_year_2024"
"yellow_sponge",9,0,0,2023,2,0,1,2024,1,0,0,1,1,0,1,1
"orange_sponge",53,5,0,2023,23,7,0,2024,1,1,0,1,1,1,0,1
"red_sponge",15,3,0,2023,117,2,0,2024,1,1,0,1,1,1,0,1
"unknown_other_porifera",16,3,0,2023,2,7,0,2024,1,1,0,1,1,1,0,1
"anemone",11,7,5,2023,2,0,1,2024,1,1,1,1,1,0,1,1
"aggregating.anemone",0,0,3,2023,0,0,0,2024,0,0,1,1,0,0,0,1
"purple.encrusting.hydrocoral",0,0,0,2023,0,0,0,2024,0,0,0,1,0,0,0,1
"hydroid",0,0,0,2023,0,0,0,2024,0,0,0,1,0,0,0,1
"lions.mane",0,0,0,2023,0,0,0,2024,0,0,0,1,0,0,0,1
"moon_jelly",0,0,0,2023,0,0,0,2024,0,0,0,1,0,0,0,1
"egg_jelly",0,0,0,2023,0,0,0,2024,0,0,0,1,0,0,0,1
"flat_worm",0,0,0,2023,1,5,1,2024,0,0,0,1,1,1,1,1
"nonsegmented_worm",15,1,0,2023,141,1,0,2024,1,1,0,1,1,1,0,1
"segmented_worm",73,16,5,2023,110,9,1,2024,1,1,1,1,1,1,1,1
"tubeworm",117,17,0,2023,9999,9999,9999,2024,1,1,0,1,NA,NA,NA,NA
"other_worm",0,0,0,2023,6,4,0,2024,0,0,0,1,1,1,0,1
"chiton_lined",64,36,1,2023,4,5,1,2024,1,1,1,1,1,1,1,1
"chiton_mossy",17,39,14,2023,10,8,1,2024,1,1,1,1,1,1,1,1
"chiton_hairy",6,21,4,2023,10,9,0,2024,1,1,1,1,1,1,0,1
"chiton_leather",0,11,4,2023,0,0,2,2024,0,1,1,1,0,0,1,1
"limpet",132,721,371,2023,343,900,1274,2024,1,1,1,1,1,1,1,1
"topsnail",98,48,14,2023,30,7,13,2024,1,1,1,1,1,1,1,1
"turban_snail",19,78,14,2023,3,831,2881,2024,1,1,1,1,1,1,1,1
"sitka",0,0,0,2023,9999,9999,9999,2024,0,0,0,1,NA,NA,NA,NA
"bittium",4,0,0,2023,0,1,0,2024,1,0,0,1,0,1,0,1
"wentletrap",0,0,0,2023,9999,9999,9999,2024,0,0,0,1,NA,NA,NA,NA
"dogwinkle",10,31,0,2023,39,44,9,2024,1,1,0,1,1,1,1,1
"other_welk",32,53,11,2023,0,0,0,2024,1,1,1,1,0,0,0,1
"olive",0,0,0,2023,9999,9999,9999,2024,0,0,0,1,NA,NA,NA,NA
"other_unknown_gastropoda",38,90,7,2023,9,37,20,2024,1,1,1,1,1,1,1,1
"sea_clown",2,0,0,2023,0,0,0,2024,1,0,0,1,0,0,0,1
"dorid",2,0,0,2023,0,0,0,2024,1,0,0,1,0,0,0,1
"sea_lemon",2,1,0,2023,0,0,0,2024,1,1,0,1,0,0,0,1
"other_unknown_opisthobranchia",1,1,0,2023,8,9,2,2024,1,1,0,1,1,1,1,1
"mussel",3,24,18,2023,21,52,42,2024,1,1,1,1,1,1,1,1
"oyster",20,20,4,2023,0,11,10,2024,1,1,1,1,0,1,1,1
"clam",24,4,0,2023,5,0,0,2024,1,1,0,1,1,0,0,1
"scallop",1,0,0,2023,3,0,0,2024,1,0,0,1,1,0,0,1
"other_unknown_bivalvia",6,1,0,2023,0,0,0,2024,1,1,0,1,0,0,0,1
"barnacles",18,19,10,2023,3069,6466,2592,2024,1,1,1,1,1,1,1,1
"isopods",5,13,2,2023,9999,9999,9999,2024,1,1,1,1,NA,NA,NA,NA
"amphipods",32,5,1,2023,1056,201,28,2024,1,1,1,1,1,1,1,1
"shrimp",0,2,0,2023,3,0,0,2024,0,1,0,1,1,0,0,1
"black_clawed",109,16,0,2023,52,27,0,2024,1,1,0,1,1,1,0,1
"hemigrapsus",18,95,9,2023,187,266,35,2024,1,1,1,1,1,1,1,1
"hermit_crabs",111,223,21,2023,74,219,37,2024,1,1,1,1,1,1,1,1
"kelp_crab",25,13,1,2023,10,7,0,2024,1,1,1,1,1,1,0,1
"porcelain",146,88,1,2023,110,50,0,2024,1,1,1,1,1,1,0,1
"rock_crab",11,2,1,2023,16,2,0,2024,1,1,1,1,1,1,0,1
"other_unknown_decapoda",13,16,8,2023,9,2,0,2024,1,1,1,1,1,1,0,1
"orange_encrusting",3,1,0,2023,0,0,0,2024,1,1,0,1,0,0,0,1
"other_unknown_bryozoa",11,2,0,2023,38,1,0,2024,1,1,0,1,1,1,0,1
"blood",3,3,0,2023,0,0,0,2024,1,1,0,1,0,0,0,1
"evasterias",5,1,0,2023,0,0,0,2024,1,1,0,1,0,0,0,1
"leather",8,1,0,2023,2,0,0,2024,1,1,0,1,1,0,0,1
"leptasterias",38,41,2,2023,11,20,1,2024,1,1,1,1,1,1,1,1
"pisaster",2,1,0,2023,0,0,0,2024,1,1,0,1,0,0,0,1
"brittle",26,7,0,2023,99,0,0,2024,1,1,0,1,1,0,0,1
"urchin",32,33,0,2023,0,3,0,2024,1,1,0,1,0,1,0,1
"cucumber",111,40,1,2023,14,5,0,2024,1,1,1,1,1,1,0,1
"tunicate",23,1,0,2023,0,0,0,2024,1,1,0,1,0,0,0,1
"sea_squirt",28,8,0,2023,1,0,0,2024,1,1,0,1,1,0,0,1
"other_unknown_tunicata",1,0,0,2023,0,0,0,2024,1,0,0,1,0,0,0,1
"clingfish",1,0,0,2023,1,0,0,2024,1,0,0,1,1,0,0,1
"sculpin",0,3,0,2023,1,0,0,2024,0,1,0,1,1,0,0,1
"gunnel",54,13,0,2023,13,3,0,2024,1,1,0,1,1,1,0,1
"other_unknown_osteichthyes",1,0,0,2023,0,0,0,2024,1,0,0,1,0,0,0,1
"chiton_other",9999,9999,9999,2023,4,5,0,2024,NA,NA,NA,NA,1,1,0,1
"checkered_snail",9999,9999,9999,2023,0,407,1081,2024,NA,NA,NA,NA,0,1,1,1
"periwinkle",9999,9999,9999,2023,7,1528,3918,2024,NA,NA,NA,NA,1,1,1,1
"isopod",9999,9999,9999,2023,0,4,0,2024,NA,NA,NA,NA,0,1,0,1
"isopod_other",9999,9999,9999,2023,128,35,1,2024,NA,NA,NA,NA,1,1,1,1
"cockscomb",9999,9999,9999,2023,19,0,0,2024,NA,NA,NA,NA,1,0,0,1
